job,before_sqft,after_sqft,hers_sqft,moved_sqft,share_now,thickness_agree_before,thickness_agree_after,thickness_storeys,openings_we_have_before,openings_we_have_after,openings_hers,lost
30933-01,,216033.6,236479.66,,0.91,,2,4,,24,46,LOST
30989-01,,61405.58,114633.43,,0.54,,4,4,,6,30,LOST
31006-01,,22033.33,6806.61,,3.24,,0,1,,0,1,LOST
31053-01,,116363.45,158263.18,,0.74,,11,14,,19,42,LOST
31098-01,,182027,211424.85,,0.86,,19,20,,2,24,LOST
70057-01,,207217.16,143559.83,,1.44,,0,3,,2,9,LOST
00904-01,,,,,,,,,,,,
00966-06,,,,,,,,,,,,
01195-01,,,,,,,,,,,,
01375-01,,,,,,,,,,,,
01379-01,,,,,,,,,,,,
01389-01,,,,,,,,,,,,
01448-02,,,,,,,,,,,,
01471-02,,,,,,,,,,,,
01554-01,,,,,,,,,,,,
01569-01,,,,,,,,,,,,
01589-01,,,,,,,,,,,,
01599-01,,,,,,,,,,,,
01603-01,,,,,,,,,,,,
01631-01,,,,,,,,,,,,
01653-01,,,,,,,,,,,,
01666-01,,,,,,,,,,,,
01668-01,,,,,,,,,,,,
01669-01,,,,,,,,,,,,
01672-01,,,,,,,,,,,,
01715-01,,,,,,,,,,,,
01721-01,,,,,,,,,,,,
01726-01,,,,,,,,,,,,
01728-01,,,,,,,,,,,,
01729-01,,,,,,,,,,,,
01732-01,,,,,,,,,,,,
01742-01,,,,,,,,,,,,
01744-01,,,,,,,,,,,,
01746-01,,,,,,,,,,,,
01747-01,,,,,,,,,,,,
01749-01,,,,,,,,,,,,
01761-01,,,,,,,,,,,,
01773-01,,,,,,,,,,,,
01780-01,,,,,,,,,,,,
01783-01,,,,,,,,,,,,
01787-01,,,,,,,,,,,,
01788-01,,,,,,,,,,,,
01789-01,,,,,,,,,,,,
01791-01,,,,,,,,,,,,
01797-01,,,,,,,,,,,,
01798-01,,,,,,,,,,,,
01803-01,,,,,,,,,,,,
01806-01,,,,,,,,,,,,
01810-01,,,,,,,,,,,,
01811-01,,,,,,,,,,,,
30101-12,,,,,,,,,,,,
30477-01,,,,,,,,,,,,
30553-06,,,,,,,,,,,,
30654-04,,,,,,,,,,,,
30694-01,,,,,,,,,,,,
30725-01,,,,,,,,,,,,
30743-01,,,,,,,,,,,,
30751-01,,,,,,,,,,,,
30756-01,,,,,,,,,,,,
30768-01,,,,,,,,,,,,
30780-08,,,,,,,,,,,,
30780-10,,,,,,,,,,,,
30783-01,,,,,,,,,,,,
30784-01,,,,,,,,,,,,
30798-06,,,,,,,,,,,,
30804-01,,,,,,,,,,,,
30807-01,,,,,,,,,,,,
30811-01,,,,,,,,,,,,
30816-01,,,,,,,,,,,,
30816-02,,,,,,,,,,,,
30819-01,,39476.03,50516.78,,0.78,,1,5,,1,9,
30820-01,,,,,,,,,,,,
30820-02,,,,,,,,,,,,
30823-01,,,,,,,,,,,,
30824-01,,,,,,,,,,,,
30825-01,,,,,,,,,,,,
30826-01,,,,,,,,,,,,
30827-01,,,,,,,,,,,,
30830-01,,,,,,,,,,,,
30832-01,,,,,,,,,,,,
30833-01,,,,,,,,,,,,
30834-01,,,,,,,,,,,,
30836-01,,,,,,,,,,,,
30838-01,,479947.24,586052.84,,0.82,,32,37,,104,157,
30840-01,,,,,,,,,,,,
30841-01,,,,,,,,,,,,
30848-01,,,,,,,,,,,,
30849-01,,84232.71,123637.64,,0.68,,10,12,,10,47,
30852-01,,,,,,,,,,,,
30853-01,,,,,,,,,,,,
30864-01,,0,0,,,,0,0,,39,98,
30865-01,,,,,,,,,,,,
30865-05,,,,,,,,,,,,
30867-01,,,,,,,,,,,,
30869-01,,,,,,,,,,,,
30874-01,,,,,,,,,,,,
30878-01,,,,,,,,,,,,
30878-02,,,,,,,,,,,,
30884-01,,,,,,,,,,,,
30886-01,,,,,,,,,,,,
30888-01,,,,,,,,,,,,
30892-01,,,,,,,,,,,,
30893-01,,,,,,,,,,,,
30894-01,,,,,,,,,,,,
30905-01,,,,,,,,,,,,
30907-01,,,,,,,,,,,,
30908-01,,,,,,,,,,,,
30909-01,,,,,,,,,,,,
30911-01,,,,,,,,,,,,
30912-01,,,,,,,,,,,,
30913-01,,,,,,,,,,,,
30919-01,,,,,,,,,,,,
30924-01,,,,,,,,,,,,
30925-01,,,,,,,,,,,,
30926-01,,,,,,,,,,,,
30927-01,,,,,,,,,,,,
30931-01,,,,,,,,,,,,
30932-01,,,,,,,,,,,,
30934-01,,,,,,,,,,,,
30937-01,,,,,,,,,,,,
30940-01,,,,,,,,,,,,
30941-01,,,,,,,,,,,,
30942-01,,,,,,,,,,,,
30947-01,,,,,,,,,,,,
30948-01,,,,,,,,,,,,
30949-01,,,,,,,,,,,,
30954-01,,,,,,,,,,,,
30955-01,,,,,,,,,,,,
30956-01,,,,,,,,,,,,
30957-01,,,,,,,,,,,,
30960-01,,,,,,,,,,,,
30960-02,,,,,,,,,,,,
30961-01,,,,,,,,,,,,
30961-02,,,,,,,,,,,,
30971-01,,,,,,,,,,,,
30972-01,,209434.33,246122.75,,0.85,,14,19,,28,45,
30973-01,,,,,,,,,,,,
30974-01,,,,,,,,,,,,
30977-01,,,,,,,,,,,,
30978-01,,,,,,,,,,,,
30980-01,,,,,,,,,,,,
30982-01,,,,,,,,,,,,
30983-01,,,,,,,,,,,,
30984-01,,,,,,,,,,,,
30985-01,,,,,,,,,,,,
30986-01,,,,,,,,,,,,
30986-02,,19710.18,57526.94,,0.34,,1,2,,7,16,
30988-01,,,,,,,,,,,,
30990-01,,139776.62,217921.94,,0.64,,7,10,,22,25,
30992-01,,,,,,,,,,,,
30993-01,,188493.1,560266.05,,0.34,,4,4,,14,154,
30994-01,,,,,,,,,,,,
30996-02,,,,,,,,,,,,
30997-01,,,,,,,,,,,,
31001-01,,,,,,,,,,,,
31003-01,,33124.69,68066.92,,0.49,,1,2,,6,10,
31004-01,,,,,,,,,,,,
31005-01,,8034.54,75693.54,,0.11,,1,1,,26,61,
31007-01,,,,,,,,,,,,
31009-01,,100507.01,113316.21,,0.89,,5,6,,12,29,
31013-01,,,,,,,,,,,,
31014-01,,,,,,,,,,,,
31015-01,,,,,,,,,,,,
31016-01,,,,,,,,,,,,
31017-01,,227330.57,347987.09,,0.65,,1,22,,19,54,
31019-01,,,,,,,,,,,,
31020-01,,,,,,,,,,,,
31023-01,,,,,,,,,,,,
31024-01,,,,,,,,,,,,
31029-01,,0,0,,,,0,0,,0,0,
31032-01,,30906.24,37332.51,,0.83,,1,3,,2,8,
31036-01,,,,,,,,,,,,
31037-01,,25390.47,64394.93,,0.39,,0,2,,1,2,
31039-01,,0,0,,,,0,0,,0,0,
31040-01,,,,,,,,,,,,
31041-01,,,,,,,,,,,,
31041-02,,,,,,,,,,,,
31042-01,,,,,,,,,,,,
31044-02,,,,,,,,,,,,
31048-01,,51296.26,150100.48,,0.34,,0,2,,0,7,
31052-01,,,,,,,,,,,,
31057-01,,,,,,,,,,,,
31064-01,,4536.38,21180.81,,0.21,,0,1,,10,10,
31065-01,,246647.76,291705.5,,0.85,,18,20,,62,109,
31066-01,,0,0,,,,0,0,,0,0,
31067-01,,,,,,,,,,,,
31073-01,,,,,,,,,,,,
31074-01,,,,,,,,,,,,
31075-02,,,,,,,,,,,,
31076-01,,14157.3,14001.18,,1.01,,1,1,,1,4,
31082-01,,30252.79,40015.47,,0.76,,1,2,,3,6,
31083-01,,19732.19,74158.72,,0.27,,1,2,,12,21,
31083-04,,,,,,,,,,,,
31085-01,,0,0,,,,0,0,,0,0,
31087-01,,738099.2,817385.98,,0.9,,11,55,,83,106,
31088-01,,,,,,,,,,,,
31089-01,,,,,,,,,,,,
31091-01,,,,,,,,,,,,
31093-01,,42519.09,67086.38,,0.63,,1,1,,3,4,
31094-01,,,,,,,,,,,,
31099-01,,,,,,,,,,,,
31101-01,,31443.66,34029.66,,0.92,,0,1,,1,1,
31103-01,,,,,,,,,,,,
31104-01,,72129.71,117872.14,,0.61,,4,5,,13,35,
31106-01,,,,,,,,,,,,
31107-01,,,,,,,,,,,,
31108-01,,44912.68,52208.4,,0.86,,0,2,,1,2,
31116-01,,,,,,,,,,,,
31117-01,,5421.5,16615.04,,0.33,,0,1,,7,7,
31118-01,,,,,,,,,,,,
31120-01,,,,,,,,,,,,
31121-01,,,,,,,,,,,,
31122-01,,,,,,,,,,,,
31128-01,,,,,,,,,,,,
31129-01,,17693.96,35556.45,,0.5,,0,1,,3,5,
31130-01,,250285.2,277356.52,,0.9,,14,17,,33,33,
31131-01,,,,,,,,,,,,
31132-01,,,,,,,,,,,,
31133-01,,,,,,,,,,,,
31134-01,,,,,,,,,,,,
31139-01,,,,,,,,,,,,
31142-01,,,,,,,,,,,,
31143-01,,960.47,24492.19,,0.04,,0,1,,0,2,
31146-01,,,,,,,,,,,,
31149-01,,,,,,,,,,,,
31150-01,,,,,,,,,,,,
31152-01,,,,,,,,,,,,
31155-01,,66280.96,62336.4,,1.06,,1,1,,6,6,
31158-01,,15955.91,41735.52,,0.38,,1,2,,0,3,
31162-01,,32547.24,39961.25,,0.81,,2,2,,2,3,
31166-01,,,,,,,,,,,,
31167-01,,,,,,,,,,,,
31168-01,,0,0,,,,0,0,,0,0,
31170-01,,127090.01,139430.76,,0.91,,6,7,,12,37,
31171-01,,7312.77,7611.45,,0.96,,0,1,,1,1,
31174-01,,0,23288.73,,0,,0,0,,0,8,
31178-01,,,,,,,,,,,,
31179-01,,,,,,,,,,,,
31180-01,,,,,,,,,,,,
31183-01,,57280.59,112291.56,,0.51,,2,2,,2,14,
31185-01,,27877.23,32228.56,,0.86,,1,1,,0,0,
31186-01,,,,,,,,,,,,
31193-01,,,,,,,,,,,,
31194-01,,,,,,,,,,,,
31198-01,,,,,,,,,,,,
31199-01,,,,,,,,,,,,
31204-01,,,,,,,,,,,,
31207-01,,,,,,,,,,,,
31210-01,,,,,,,,,,,,
31224-01,,4268.15,18237.78,,0.23,,1,1,,1,8,
